source_table,family,type,brief_description,universal_structures_count,high_entropy_sulfides_count,training_mode,architecture_or_checkpoint
Table S2,DeePMD,Invariant,"Utilizes atomic-centered symmetry functions as descriptors. Trained from scratch using se_atten_v2, se_e2_a, se_e2_r and DPA-2 architectures.",,66739,train-from-scratch,se_atten_v2;se_e2_a;se_e2_r;DPA-2
Table S2,M3GNet,Invariant,Graph neural network incorporating global state vectors and three-body interactions. Fine-tuned from the pre-trained M3GNet-MP-2021.2.8-PES model.,176672,65011,fine-tune,M3GNet-MP-2021.2.8-PES
Table S2,CHGNet,Invariant,"Graph neural network regularized with magnetic moments derived from DFT calculations. Fine-tuned using the pre-trained ""chgnet_0.3.0_e29f68s314m37.pth.tar"" model based on MPtrj dataset.",1580395,65011,fine-tune,chgnet_0.3.0_e29f68s314m37.pth.tar
